Age,Weight,Height,BMI,Fitness Goal
18,40,150,17.77777777777778,Gain Weight
18,45,150,20.0,Maintain Weight
18,50,150,22.22222222222222,Maintain Weight
18,55,150,24.444444444444443,Maintain Weight
18,60,150,26.666666666666668,Lose Weight
18,65,150,28.88888888888889,Lose Weight
18,70,150,31.11111111111111,Lose Weight
18,75,150,33.333333333333336,Lose Weight
18,80,150,35.55555555555556,Lose Weight
18,85,150,37.77777777777778,Lose Weight
18,90,150,40.0,Lose Weight
18,95,150,42.22222222222222,Lose Weight
18,100,150,44.44444444444444,Lose Weight
18,105,150,46.666666666666664,Lose Weight
18,110,150,48.888888888888886,Lose Weight
18,115,150,51.111111111111114,Lose Weight
18,120,150,53.333333333333336,Lose Weight
18,125,150,55.55555555555556,Lose Weight
18,130,150,57.77777777777778,Lose Weight
18,135,150,60.0,Lose Weight
18,140,150,62.22222222222222,Lose Weight
18,145,150,64.44444444444444,Lose Weight
18,40,155,16.649323621227886,Gain Weight
18,45,155,18.730489073881373,Maintain Weight
18,50,155,20.811654526534856,Maintain Weight
18,55,155,22.892819979188342,Maintain Weight
18,60,155,24.97398543184183,Lose Weight
18,65,155,27.055150884495315,Lose Weight
18,70,155,29.1363163371488,Lose Weight
18,75,155,31.217481789802285,Lose Weight
18,80,155,33.29864724245577,Lose Weight
18,85,155,35.37981269510926,Lose Weight
18,90,155,37.460978147762745,Lose Weight
18,95,155,39.54214360041623,Lose Weight
18,100,155,41.62330905306971,Lose Weight
18,105,155,43.7044745057232,Lose Weight
18,110,155,45.785639958376684,Lose Weight
18,115,155,47.86680541103017,Lose Weight
18,120,155,49.94797086368366,Lose Weight
18,125,155,52.029136316337144,Lose Weight
18,130,155,54.11030176899063,Lose Weight
18,135,155,56.19146722164411,Lose Weight
18,140,155,58.2726326742976,Lose Weight
18,145,155,60.353798126951084,Lose Weight
18,40,160,15.624999999999996,Gain Weight
18,45,160,17.578124999999996,Gain Weight
18,50,160,19.531249999999996,Maintain Weight
18,55,160,21.484374999999996,Maintain Weight
18,60,160,23.437499999999996,Maintain Weight
18,65,160,25.390624999999996,Lose Weight
18,70,160,27.343749999999996,Lose Weight
18,75,160,29.296874999999993,Lose Weight
18,80,160,31.249999999999993,Lose Weight
18,85,160,33.20312499999999,Lose Weight
18,90,160,35.15624999999999,Lose Weight
18,95,160,37.10937499999999,Lose Weight
18,100,160,39.06249999999999,Lose Weight
18,105,160,41.01562499999999,Lose Weight
18,110,160,42.96874999999999,Lose Weight
18,115,160,44.92187499999999,Lose Weight
18,120,160,46.87499999999999,Lose Weight
18,125,160,48.82812499999999,Lose Weight
18,130,160,50.78124999999999,Lose Weight
18,135,160,52.73437499999999,Lose Weight
18,140,160,54.68749999999999,Lose Weight
18,145,160,56.640624999999986,Lose Weight
18,40,165,14.692378328741967,Gain Weight
18,45,165,16.528925619834713,Gain Weight
18,50,165,18.36547291092746,Gain Weight
18,55,165,20.202020202020204,Maintain Weight
18,60,165,22.03856749311295,Maintain Weight
18,65,165,23.875114784205696,Maintain Weight
18,70,165,25.71166207529844,Lose Weight
